hello,hello2,phase,millis
1760027182866,theboxer000,first_to_second,185
1760027187022,theboxer000,start_to_first,202
1760027187224,theboxer000,first_to_second,202
1760027190130,theboxer000,start_to_first,202
1760027195074,theboxer000,start_to_first,306
1760027195286,theboxer000,first_to_second,211
1760027199317,theboxer000,start_to_first,51
1760027199520,theboxer000,first_to_second,203
1760027203377,theboxer000,start_to_first,204
1760027208523,theboxer000,start_to_first,299
1760027208727,theboxer000,first_to_second,205
1760027212417,theboxer000,start_to_first,352
1760027212621,theboxer000,first_to_second,204
1760027215374,theboxer000,start_to_first,149
1760027215578,theboxer000,first_to_second,204
1760027220226,theboxer000,start_to_first,250
1760027220427,theboxer000,first_to_second,201
1760027223623,theboxer000,start_to_first,253
1760027223824,theboxer000,first_to_second,201
1760027226667,theboxer000,start_to_first,151
1760027232319,theboxer000,start_to_first,102
1760027260722,theboxer000,start_to_first,152
1760027260922,theboxer000,first_to_second,200
1760027264619,theboxer000,start_to_first,301
1760027264770,theboxer000,first_to_second,151
1760027269976,theboxer000,start_to_first,254
1760027270177,theboxer000,first_to_second,201
1760027279327,theboxer000,start_to_first,200
1760027279529,theboxer000,first_to_second,203
1760027284222,theboxer000,start_to_first,204
1760027284426,theboxer000,first_to_second,204
1760027288019,theboxer000,start_to_first,302
1760027288235,theboxer000,first_to_second,215
1760027294168,theboxer000,start_to_first,152
1760027294369,theboxer000,first_to_second,201
1760027297680,theboxer000,start_to_first,354
1760027297869,theboxer000,first_to_second,189
1760027301326,theboxer000,start_to_first,101
1760027306814,theboxer000,start_to_first,289
1760027307015,theboxer000,first_to_second,201
1760027310822,theboxer000,start_to_first,253
1760027311019,theboxer000,first_to_second,198
1760027315472,theboxer000,start_to_first,200
1760027319769,theboxer000,start_to_first,255
1760027319970,theboxer000,first_to_second,201
1760027324215,theboxer000,start_to_first,250
1760027324366,theboxer000,first_to_second,151
1760027328868,theboxer000,start_to_first,101
1760027329020,theboxer000,first_to_second,152
1760027332229,theboxer000,start_to_first,252
1760027332431,theboxer000,first_to_second,202
1760027335822,theboxer000,start_to_first,443
1760027335973,theboxer000,first_to_second,151
1760027342366,theboxer000,start_to_first,152
1760027342567,theboxer000,first_to_second,201
1760027346871,theboxer000,start_to_first,51
1760027347086,theboxer000,first_to_second,214
1760027350726,theboxer000,start_to_first,306
1760027354976,theboxer000,start_to_first,302
1760027355127,theboxer000,first_to_second,151
1760027359468,theboxer000,start_to_first,203
1760027359619,theboxer000,first_to_second,151
1760027363574,theboxer000,start_to_first,51
1760027363776,theboxer000,first_to_second,202
1760027366873,theboxer000,start_to_first,252
1760027367075,theboxer000,first_to_second,202
1760027372526,theboxer000,start_to_first,304
1760027372676,theboxer000,first_to_second,150
1760027377172,theboxer000,start_to_first,100
1760027377373,theboxer000,first_to_second,201
1760027380621,theboxer000,start_to_first,302
1760027380774,theboxer000,first_to_second,153
1760027386724,theboxer000,start_to_first,400
1760027386874,theboxer000,first_to_second,150
1760027392275,theboxer000,start_to_first,303
1760027392426,theboxer000,first_to_second,151
1760027395170,theboxer000,start_to_first,302
1760027395369,theboxer000,first_to_second,199
1760027398924,theboxer000,start_to_first,303
1760027405367,theboxer000,start_to_first,252
1760027405517,theboxer000,first_to_second,149
1760027408667,theboxer000,start_to_first,289
1760027408869,theboxer000,first_to_second,201
1760027413868,theboxer000,start_to_first,296
1760027414074,theboxer000,first_to_second,206
1760027423069,theboxer000,start_to_first,202
1760027423272,theboxer000,first_to_second,202
1760027427572,theboxer000,start_to_first,254
1760027427775,theboxer000,first_to_second,203
1760027432371,theboxer000,start_to_first,200
1760027432572,theboxer000,first_to_second,201
1760027436070,theboxer000,start_to_first,346
1760027436223,theboxer000,first_to_second,153
1760027440779,theboxer000,first_to_second,205
1760027446033,theboxer000,start_to_first,152
1760027446236,theboxer000,first_to_second,204
1760027450424,theboxer000,start_to_first,302
1760027450628,theboxer000,first_to_second,205
1760027455218,theboxer000,start_to_first,246
1760027455430,theboxer000,first_to_second,212
1760027458820,theboxer000,start_to_first,303
1760027458970,theboxer000,first_to_second,150
1760027464423,theboxer000,start_to_first,304
1760027464628,theboxer000,first_to_second,205
1760027468825,theboxer000,start_to_first,255
1760027469016,theboxer000,first_to_second,192
1760027475014,theboxer000,start_to_first,287
1760027475216,theboxer000,first_to_second,202
1760027478077,theboxer000,start_to_first,275
1760027478229,theboxer000,first_to_second,153
1760027516621,theboxer000,start_to_first,247
1760027516823,theboxer000,first_to_second,202
1760027521874,theboxer000,start_to_first,304
1760027522027,theboxer000,first_to_second,153
1760027526222,theboxer000,start_to_first,252
1760027526375,theboxer000,first_to_second,153
1760027530928,theboxer000,start_to_first,355
1760027531114,theboxer000,first_to_second,186
1760027534165,theboxer000,start_to_first,436
1760027540118,theboxer000,start_to_first,286
1760027540273,theboxer000,first_to_second,155
1760027545277,theboxer000,start_to_first,301
1760027545478,theboxer000,first_to_second,202
1760027550222,theboxer000,start_to_first,206
1760027550381,theboxer000,first_to_second,159
1760027554219,theboxer000,start_to_first,303
1760027554369,theboxer000,first_to_second,151
1760027559319,theboxer000,start_to_first,151
1760027563579,theboxer000,start_to_first,152
1760027563780,theboxer000,first_to_second,200
1760027569265,theboxer000,start_to_first,236
1760027569467,theboxer000,first_to_second,202
1760027573664,theboxer000,start_to_first,51
1760027573867,theboxer000,first_to_second,203
1760027577578,theboxer000,first_to_second,201
1760027580565,theboxer000,start_to_first,335
1760027580716,theboxer000,first_to_second,152
1760027583926,theboxer000,start_to_first,252
1760027584128,theboxer000,first_to_second,204
